	img	cm	label
CN51_C2_2_1.996x25.956	../dataset/tile\CN51_C2_2\CN51_C2_2-1.996-25.956.jpeg	CN51_C2_2_1.996x25.956	p70
CN51_C2_2_2.004x26.954	../dataset/tile\CN51_C2_2\CN51_C2_2-2.004-26.954.jpeg	CN51_C2_2_2.004x26.954	p70
CN51_C2_2_2.006x31.917	../dataset/tile\CN51_C2_2\CN51_C2_2-2.006-31.917.jpeg	CN51_C2_2_2.006x31.917	p70
CN51_C2_2_2.007x29.936	../dataset/tile\CN51_C2_2\CN51_C2_2-2.007-29.936.jpeg	CN51_C2_2_2.007x29.936	p70
CN51_C2_2_2.007x32.938	../dataset/tile\CN51_C2_2\CN51_C2_2-2.007-32.938.jpeg	CN51_C2_2_2.007x32.938	p70
CN51_C2_2_2.015x27.936	../dataset/tile\CN51_C2_2\CN51_C2_2-2.015-27.936.jpeg	CN51_C2_2_2.015x27.936	p70
CN51_C2_2_2.02x30.936	../dataset/tile\CN51_C2_2\CN51_C2_2-2.02-30.936.jpeg	CN51_C2_2_2.02x30.936	p70
CN51_C2_2_2.026x28.94	../dataset/tile\CN51_C2_2\CN51_C2_2-2.026-28.94.jpeg	CN51_C2_2_2.026x28.94	p70
CN51_C2_2_2.974x28.927	../dataset/tile\CN51_C2_2\CN51_C2_2-2.974-28.927.jpeg	CN51_C2_2_2.974x28.927	p70
CN51_C2_2_2.977x25.938	../dataset/tile\CN51_C2_2\CN51_C2_2-2.977-25.938.jpeg	CN51_C2_2_2.977x25.938	p70
CN51_C2_2_2.987x26.921	../dataset/tile\CN51_C2_2\CN51_C2_2-2.987-26.921.jpeg	CN51_C2_2_2.987x26.921	p70
CN51_C2_2_2.989x29.908	../dataset/tile\CN51_C2_2\CN51_C2_2-2.989-29.908.jpeg	CN51_C2_2_2.989x29.908	p70
CN51_C2_2_2.995x30.912	../dataset/tile\CN51_C2_2\CN51_C2_2-2.995-30.912.jpeg	CN51_C2_2_2.995x30.912	p70
CN51_C2_2_3.004x31.908	../dataset/tile\CN51_C2_2\CN51_C2_2-3.004-31.908.jpeg	CN51_C2_2_3.004x31.908	p70
CN51_C2_2_3.009x32.901	../dataset/tile\CN51_C2_2\CN51_C2_2-3.009-32.901.jpeg	CN51_C2_2_3.009x32.901	p70
CN51_C2_2_3.01x27.933	../dataset/tile\CN51_C2_2\CN51_C2_2-3.01-27.933.jpeg	CN51_C2_2_3.01x27.933	p70
CN51_C2_2_3.937x30.92	../dataset/tile\CN51_C2_2\CN51_C2_2-3.937-30.92.jpeg	CN51_C2_2_3.937x30.92	p70
CN51_C2_2_3.942x25.915	../dataset/tile\CN51_C2_2\CN51_C2_2-3.942-25.915.jpeg	CN51_C2_2_3.942x25.915	p70
CN51_C2_2_3.944x31.906	../dataset/tile\CN51_C2_2\CN51_C2_2-3.944-31.906.jpeg	CN51_C2_2_3.944x31.906	p70
CN51_C2_2_3.947x26.901	../dataset/tile\CN51_C2_2\CN51_C2_2-3.947-26.901.jpeg	CN51_C2_2_3.947x26.901	p70
CN51_C2_2_3.95x29.917	../dataset/tile\CN51_C2_2\CN51_C2_2-3.95-29.917.jpeg	CN51_C2_2_3.95x29.917	p70
CN51_C2_2_3.969x32.904	../dataset/tile\CN51_C2_2\CN51_C2_2-3.969-32.904.jpeg	CN51_C2_2_3.969x32.904	p70
CN51_C2_2_3.973x27.906	../dataset/tile\CN51_C2_2\CN51_C2_2-3.973-27.906.jpeg	CN51_C2_2_3.973x27.906	p70
CN51_C2_2_3.981x28.894	../dataset/tile\CN51_C2_2\CN51_C2_2-3.981-28.894.jpeg	CN51_C2_2_3.981x28.894	p70
CN51_C2_2_3.984x33.881	../dataset/tile\CN51_C2_2\CN51_C2_2-3.984-33.881.jpeg	CN51_C2_2_3.984x33.881	p70
CN51_C2_2_4.975x26.895	../dataset/tile\CN51_C2_2\CN51_C2_2-4.975-26.895.jpeg	CN51_C2_2_4.975x26.895	p70
CN51_C2_2_4.976x28.887	../dataset/tile\CN51_C2_2\CN51_C2_2-4.976-28.887.jpeg	CN51_C2_2_4.976x28.887	p70
CN51_C2_2_4.978x27.919	../dataset/tile\CN51_C2_2\CN51_C2_2-4.978-27.919.jpeg	CN51_C2_2_4.978x27.919	p70
CN51_C2_2_4.981x29.881	../dataset/tile\CN51_C2_2\CN51_C2_2-4.981-29.881.jpeg	CN51_C2_2_4.981x29.881	p70
CN51_C2_2_4.982x31.881	../dataset/tile\CN51_C2_2\CN51_C2_2-4.982-31.881.jpeg	CN51_C2_2_4.982x31.881	p70
CN51_C2_2_4.989x30.884	../dataset/tile\CN51_C2_2\CN51_C2_2-4.989-30.884.jpeg	CN51_C2_2_4.989x30.884	p70
CN51_C2_2_4.991x32.857	../dataset/tile\CN51_C2_2\CN51_C2_2-4.991-32.857.jpeg	CN51_C2_2_4.991x32.857	p70
CN51_C2_2_5.933x28.889	../dataset/tile\CN51_C2_2\CN51_C2_2-5.933-28.889.jpeg	CN51_C2_2_5.933x28.889	p70
CN51_C2_2_5.957x29.916	../dataset/tile\CN51_C2_2\CN51_C2_2-5.957-29.916.jpeg	CN51_C2_2_5.957x29.916	p70
CN51_C2_2_5.965x30.888	../dataset/tile\CN51_C2_2\CN51_C2_2-5.965-30.888.jpeg	CN51_C2_2_5.965x30.888	p70
CN51_C2_2_5.972x31.879	../dataset/tile\CN51_C2_2\CN51_C2_2-5.972-31.879.jpeg	CN51_C2_2_5.972x31.879	p70
CN51_C2_2_6.964x30.89	../dataset/tile\CN51_C2_2\CN51_C2_2-6.964-30.89.jpeg	CN51_C2_2_6.964x30.89	p70
CN51_C2_2_6.976x31.894	../dataset/tile\CN51_C2_2\CN51_C2_2-6.976-31.894.jpeg	CN51_C2_2_6.976x31.894	p70
CN52_C2_2_10.946x30.941	../dataset/tile\CN52_C2_2\CN52_C2_2-10.946-30.941.jpeg	CN52_C2_2_10.946x30.941	p70
CN52_C2_2_10.949x28.994	../dataset/tile\CN52_C2_2\CN52_C2_2-10.949-28.994.jpeg	CN52_C2_2_10.949x28.994	p70
CN52_C2_2_10.953x32.934	../dataset/tile\CN52_C2_2\CN52_C2_2-10.953-32.934.jpeg	CN52_C2_2_10.953x32.934	p70
CN52_C2_2_10.954x29.943	../dataset/tile\CN52_C2_2\CN52_C2_2-10.954-29.943.jpeg	CN52_C2_2_10.954x29.943	p70
CN52_C2_2_10.961x33.973	../dataset/tile\CN52_C2_2\CN52_C2_2-10.961-33.973.jpeg	CN52_C2_2_10.961x33.973	p70
CN52_C2_2_10.977x31.964	../dataset/tile\CN52_C2_2\CN52_C2_2-10.977-31.964.jpeg	CN52_C2_2_10.977x31.964	p70
CN52_C2_2_11.977x31.004	../dataset/tile\CN52_C2_2\CN52_C2_2-11.977-31.004.jpeg	CN52_C2_2_11.977x31.004	p70
CN52_C2_2_11.988x31.997	../dataset/tile\CN52_C2_2\CN52_C2_2-11.988-31.997.jpeg	CN52_C2_2_11.988x31.997	p70
CN52_C2_2_12.004x33.006	../dataset/tile\CN52_C2_2\CN52_C2_2-12.004-33.006.jpeg	CN52_C2_2_12.004x33.006	p70
CN52_C2_2_12.006x34.029	../dataset/tile\CN52_C2_2\CN52_C2_2-12.006-34.029.jpeg	CN52_C2_2_12.006x34.029	p70
CN52_C2_2_12.026x30.008	../dataset/tile\CN52_C2_2\CN52_C2_2-12.026-30.008.jpeg	CN52_C2_2_12.026x30.008	p70
CN52_C2_2_13.012x32.99	../dataset/tile\CN52_C2_2\CN52_C2_2-13.012-32.99.jpeg	CN52_C2_2_13.012x32.99	p70
CN52_C2_2_13.026x32.016	../dataset/tile\CN52_C2_2\CN52_C2_2-13.026-32.016.jpeg	CN52_C2_2_13.026x32.016	p70
CN52_C2_2_13.043x34.009	../dataset/tile\CN52_C2_2\CN52_C2_2-13.043-34.009.jpeg	CN52_C2_2_13.043x34.009	p70
CN52_C2_2_13.971x33.013	../dataset/tile\CN52_C2_2\CN52_C2_2-13.971-33.013.jpeg	CN52_C2_2_13.971x33.013	p70
CN52_C2_2_13.987x34.001	../dataset/tile\CN52_C2_2\CN52_C2_2-13.987-34.001.jpeg	CN52_C2_2_13.987x34.001	p70
CN52_C2_2_2.94x33.046	../dataset/tile\CN52_C2_2\CN52_C2_2-2.94-33.046.jpeg	CN52_C2_2_2.94x33.046	p70
CN52_C2_2_2.957x34.053	../dataset/tile\CN52_C2_2\CN52_C2_2-2.957-34.053.jpeg	CN52_C2_2_2.957x34.053	p70
CN52_C2_2_3.912x29.009	../dataset/tile\CN52_C2_2\CN52_C2_2-3.912-29.009.jpeg	CN52_C2_2_3.912x29.009	p70
CN52_C2_2_3.922x30.018	../dataset/tile\CN52_C2_2\CN52_C2_2-3.922-30.018.jpeg	CN52_C2_2_3.922x30.018	p70
CN52_C2_2_3.931x32.002	../dataset/tile\CN52_C2_2\CN52_C2_2-3.931-32.002.jpeg	CN52_C2_2_3.931x32.002	p70
CN52_C2_2_3.934x34.046	../dataset/tile\CN52_C2_2\CN52_C2_2-3.934-34.046.jpeg	CN52_C2_2_3.934x34.046	p70
CN52_C2_2_3.937x33.019	../dataset/tile\CN52_C2_2\CN52_C2_2-3.937-33.019.jpeg	CN52_C2_2_3.937x33.019	p70
CN52_C2_2_3.951x31.037	../dataset/tile\CN52_C2_2\CN52_C2_2-3.951-31.037.jpeg	CN52_C2_2_3.951x31.037	p70
CN52_C2_2_4.92x33.001	../dataset/tile\CN52_C2_2\CN52_C2_2-4.92-33.001.jpeg	CN52_C2_2_4.92x33.001	p70
CN52_C2_2_4.922x31.993	../dataset/tile\CN52_C2_2\CN52_C2_2-4.922-31.993.jpeg	CN52_C2_2_4.922x31.993	p70
CN52_C2_2_4.924x29.011	../dataset/tile\CN52_C2_2\CN52_C2_2-4.924-29.011.jpeg	CN52_C2_2_4.924x29.011	p70
CN52_C2_2_4.928x30.012	../dataset/tile\CN52_C2_2\CN52_C2_2-4.928-30.012.jpeg	CN52_C2_2_4.928x30.012	p70
CN52_C2_2_4.929x31.033	../dataset/tile\CN52_C2_2\CN52_C2_2-4.929-31.033.jpeg	CN52_C2_2_4.929x31.033	p70
CN52_C2_2_4.945x34.001	../dataset/tile\CN52_C2_2\CN52_C2_2-4.945-34.001.jpeg	CN52_C2_2_4.945x34.001	p70
CN52_C2_2_5.881x29.031	../dataset/tile\CN52_C2_2\CN52_C2_2-5.881-29.031.jpeg	CN52_C2_2_5.881x29.031	p70
CN52_C2_2_5.884x31.055	../dataset/tile\CN52_C2_2\CN52_C2_2-5.884-31.055.jpeg	CN52_C2_2_5.884x31.055	p70
CN52_C2_2_5.899x30.01	../dataset/tile\CN52_C2_2\CN52_C2_2-5.899-30.01.jpeg	CN52_C2_2_5.899x30.01	p70
CN52_C2_2_5.899x34.016	../dataset/tile\CN52_C2_2\CN52_C2_2-5.899-34.016.jpeg	CN52_C2_2_5.899x34.016	p70
CN52_C2_2_5.906x33	../dataset/tile\CN52_C2_2\CN52_C2_2-5.906-33.jpeg	CN52_C2_2_5.906x33	p70
CN52_C2_2_5.916x32.014	../dataset/tile\CN52_C2_2\CN52_C2_2-5.916-32.014.jpeg	CN52_C2_2_5.916x32.014	p70
CN52_C2_2_6.9x29.014	../dataset/tile\CN52_C2_2\CN52_C2_2-6.9-29.014.jpeg	CN52_C2_2_6.9x29.014	p70
CN52_C2_2_6.909x31.007	../dataset/tile\CN52_C2_2\CN52_C2_2-6.909-31.007.jpeg	CN52_C2_2_6.909x31.007	p70
CN52_C2_2_6.918x32.009	../dataset/tile\CN52_C2_2\CN52_C2_2-6.918-32.009.jpeg	CN52_C2_2_6.918x32.009	p70
CN52_C2_2_6.93x32.983	../dataset/tile\CN52_C2_2\CN52_C2_2-6.93-32.983.jpeg	CN52_C2_2_6.93x32.983	p70
CN52_C2_2_6.933x29.987	../dataset/tile\CN52_C2_2\CN52_C2_2-6.933-29.987.jpeg	CN52_C2_2_6.933x29.987	p70
CN52_C2_2_6.935x33.986	../dataset/tile\CN52_C2_2\CN52_C2_2-6.935-33.986.jpeg	CN52_C2_2_6.935x33.986	p70
CN52_C2_2_7.927x31.986	../dataset/tile\CN52_C2_2\CN52_C2_2-7.927-31.986.jpeg	CN52_C2_2_7.927x31.986	p70
CN52_C2_2_7.934x28.965	../dataset/tile\CN52_C2_2\CN52_C2_2-7.934-28.965.jpeg	CN52_C2_2_7.934x28.965	p70
CN52_C2_2_7.934x30.987	../dataset/tile\CN52_C2_2\CN52_C2_2-7.934-30.987.jpeg	CN52_C2_2_7.934x30.987	p70
CN52_C2_2_7.939x29.987	../dataset/tile\CN52_C2_2\CN52_C2_2-7.939-29.987.jpeg	CN52_C2_2_7.939x29.987	p70
CN52_C2_2_7.944x33.006	../dataset/tile\CN52_C2_2\CN52_C2_2-7.944-33.006.jpeg	CN52_C2_2_7.944x33.006	p70
CN52_C2_2_7.959x34.002	../dataset/tile\CN52_C2_2\CN52_C2_2-7.959-34.002.jpeg	CN52_C2_2_7.959x34.002	p70
CN52_C2_2_8.959x28.937	../dataset/tile\CN52_C2_2\CN52_C2_2-8.959-28.937.jpeg	CN52_C2_2_8.959x28.937	p70
CN52_C2_2_8.979x33.978	../dataset/tile\CN52_C2_2\CN52_C2_2-8.979-33.978.jpeg	CN52_C2_2_8.979x33.978	p70
CN52_C2_2_8.995x29.968	../dataset/tile\CN52_C2_2\CN52_C2_2-8.995-29.968.jpeg	CN52_C2_2_8.995x29.968	p70
CN52_C2_2_8.995x31.971	../dataset/tile\CN52_C2_2\CN52_C2_2-8.995-31.971.jpeg	CN52_C2_2_8.995x31.971	p70
CN52_C2_2_8.998x32.967	../dataset/tile\CN52_C2_2\CN52_C2_2-8.998-32.967.jpeg	CN52_C2_2_8.998x32.967	p70
CN52_C2_2_8.999x30.947	../dataset/tile\CN52_C2_2\CN52_C2_2-8.999-30.947.jpeg	CN52_C2_2_8.999x30.947	p70
CN52_C2_2_9.909x28.973	../dataset/tile\CN52_C2_2\CN52_C2_2-9.909-28.973.jpeg	CN52_C2_2_9.909x28.973	p70
CN52_C2_2_9.91x30.992	../dataset/tile\CN52_C2_2\CN52_C2_2-9.91-30.992.jpeg	CN52_C2_2_9.91x30.992	p70
CN52_C2_2_9.92x29.97	../dataset/tile\CN52_C2_2\CN52_C2_2-9.92-29.97.jpeg	CN52_C2_2_9.92x29.97	p70
CN52_C2_2_9.924x33.027	../dataset/tile\CN52_C2_2\CN52_C2_2-9.924-33.027.jpeg	CN52_C2_2_9.924x33.027	p70
CN52_C2_2_9.931x31.982	../dataset/tile\CN52_C2_2\CN52_C2_2-9.931-31.982.jpeg	CN52_C2_2_9.931x31.982	p70
CN52_C2_2_9.932x34.002	../dataset/tile\CN52_C2_2\CN52_C2_2-9.932-34.002.jpeg	CN52_C2_2_9.932x34.002	p70
